Adanel
Elendur
Elenwe
Elfhelm
Elfhild
Elfwine
Elladan
Elrohir
Elmo
Elphir
Elrond
Elros
Elured
Elurin
Elwing
Emeldir
Enel
Enelye
Enerdhil
Eomer
Eorl
Eowyn
Eradan
Erchirion
Erellont
Erendis
Erestor
Erkenbrand
Estelmo
Este
Earendil
Earendur
Earnil
Earnur
Earwen
Eol
Eonwe
Elfstan
Fairbairn
Falathar
Faramir
Farin
Fastolp
Fastred
Fengel
Bill
Ferny
Ferumbras
Fimbrethil
Finarfin
Findegil
Findis
Finduilas
Finglas
Fingolfin
Fingon
Finrod
Finwe
Fire-drake
Fladrif
Floi
Folca
Folcred
Folcwine
Forlong
Forthwini
Fortinbras
Forweg
Fram
Freca
Frerin
Frumgar
Frar
Frea
Frealaf
Hildeson
Freawine
Fror
Fuinur
Fundin
Feanor
Fili
Kili
Firiel
Galadhon
Galador
Galadriel
Galar
Galathil
Galdor
Galion
Gardner
Halfast
Halfred
Hamfast
Hamson
May
Samwise
Gamling
Gandalf
Elanor
Gelmir
Gethron
Ghan-buri-Ghan
Gil-galad
Gildis
Gildor
Inglorion
Gilfanon
Gilmith
Gilraen
Gimilkhad
Gimilzagar
Gimli
Girion
Glaurung
Glirhuin
Glorfindel
Gleowine
Gloin
Gloredhel
Harry
Goatleaf
Golasgil
Goldberry
Goldwine
Hanna
Goldworthy
Golfimbul
Gollum
Togo
Bell
Goodchild
Gorbag
Gorbulas
Gorgol
Gorhendad
Oldbuck
Gorlim
Gormadoc
Deepdelver
Gostir
Gothmog
Gram
Erling
Greenhand
Hending
Holman
Rose
Grimbeorn
Grimbold
Grishnakh
Grithnir
Groin
Gror
Guilin
Gundabal
Gundor
Guthlaf
Gwaihir
Gwindor
Galmod
Garulf
Hador
Halbarad
Haldad
Haldar
Haldir
Haleth
Hallacar
Hallas
Hallatan
Halmir
Handir
Hardang
Harding
Hareth
Hathaldir
Hathol
Hatholdir
Mat
Heathertoes
Helm
Hammerhand
Henderch
Hendor
Herefara
Herion
Herubrand
Herucalmo
Herumor
Hild
Hildigard
Hirgon
Hirluin
Hob
Gammidge
Hayward
Hobson
Holfast
Horn
Tanta
Hornblower
Tobias
Tobold
Huan
Hundad
Hundar
Hunthor
Huor
Hurin
Hyarmendacil
Hama
Arnen
Ibun
Idril
Ilmare
Eru
Iluvatar
Imin
Iminye
Imlach
Imrahil
Imrazor
Indis
Indor
Ingold
Ingwion
Ingwe
Inzilbeth
Ioreth
Iorlas
Irmo
Isembold
Isengar
Isengrim
Isildur
Isilmo
Isilme
Isumbras
TookV
Ivorwen
Ivriniel
Khamul
Khim
Lagduf
Lalaith
Landroval
Larnach
Legolas
Lenwe
Lindir
Lindisse
Lindo
Lindorie
Lorgan
Lothiriel
Lug
Lugdush
Lungorthin
Leod
Brytta
Leofa
Loni
Luthien
Mablung
Maedhros
Maeglin
Maggot
Maglor
Magor
Mahtan
Mairen
Malach
Malantur
Malbeth
Mallor
Malva
Headstrong
Malvegil
Mandos
Manthor
Manwendil
Manwe
Marach
Marcho
Mardil
Voronwe
Marhari
Marhwini
Marmadas
Marroc
Mauhur
Meleth
Melian
Melkor
Men
Menegilda
Goold
Meneldil
Meneldor
Meril-i-Turinqi
Merimas
Minardil
Minastan
Minohtar
Mithrellas
Morwen
Morwe
Sauron
Muzgash
Miriel
Mim
Nahar
Narmacil
Narvi
Naugladur
Nauglath
Nellas
Nerdanel
Nessa
Nessanie
Nieliqui
Nienna
Nimloth
Nimrodel
Nina
Lightfoot
Nienor
Nob
Nolondil
Nori
Nurwe
Nain
Nali
Nar
Numendil
Nuneth
Ohtar
Noakes
Olwe
Ondoher
Orchaldor
Orcobal
Ori
Orleg
Orodreth
Oromendil
Orome
Oropher
Orophin
Osse
Ostoher
Otho
Sackville-Baggins
Othrod
Pallando
Pelendur
Pengolodh
Penlod
Bodo
Proudfoot
Linda
Odo
Sancho
Olo
Radagast
Radbug
Radhruin
Ragnir
Ragnor
River-woman
Rog
Andwise
Rowan
Roac
Rudiga
Rudolp
Rufus
Rian
Romendacil
Rumil
Camellia
Sackville
Lobelia
Lotho
Sadoc
Sador
Saelon
Saeros
Sagroth
Salgant
Salmar
Sandyman
Ted
Sangahyando
Saradas
Saradoc
Saruman
Scatha
Seers
Shagrat
Sheila
Chandra
Shelob
Silmarien
Siriondil
Robin
Smallburrow
Smaug
Snaga
Soronto
Steelsheen
Tar-Alcarin
Tar-Aldarion
Tar-Amandil
Tar-Ancalimon
Tar-Ancalime
Tar-Anarion
Tar-Ardamin
Tar-Atanamir
Tar-Calmacil
Tar-Ciryatan
Tar-Elendil
Tar-Meneldur
Tar-Minastir
Tar-Miriel
Tar-Palantir
Tar-Surion
Tar-Telemmaite
Tar-Telperien
Tar-Vanimelde
Tarannon
Falastur
Tarcil
Tarciryan
Targon
Tarondor
Tata
Tatie
Telchar
Telemnar
Telumehtar
Tevildo
Thengel
Thingol
Thorin
Oakenshield
Stonehelm
Thorondir
Thorondor
Thranduil
Thrain
Thror
Thuringwethil
Theoden
Theodred
Theodwyn
Tilion
Tim
Tindomiel
Tolkien
Bert
William
Adalgrim
Adamanta
Adelard
Bandobras
Everard
Ferdibrand
Ferdinand
Flambard
Gerontius
Hildibrand
Hildifons
Hildigrim
Isembard
Lalia
Clayhanger
Paladin
Pearl
Peregrin
Pervinca
Pimpernel
Reginard
Rosa
Sigismond
Treebeard
Tulkas
Tulkastor
Tuor
Turambar
Turgon
Turin
Ufthak
Ugluk
Uin
Uinen
Ulbar
Uldor
Ulfang
Ulfast
Ulmo
Ulrad
Ulwarth
Urthel
Vaire
Valacar
Valandil
Valandur
Varda
Vardamir
Nolimon
Vardilme
Vidugavia
Vidumavi
Vorondil
Vana
Veantur
Walda
Will
Whitfoot
Rumble
Barach
Wiseman
Gamwich
Witch-king
Grima
Wormtongue
Wulf
Widfara
Yavanna
Yavien
Zamin
Aelfwine
Eofor
Eomund
Eothain
Irilde
Irime
Ibal
Omar
Oin
