CAMMIE,0.002
CAMMY,0.001
CANDACE,0.051
CANDANCE,0.003
CANDELARIA,0.004
CANDI,0.005
CANDICE,0.046
CANDIDA,0.006
CANDIE,0.002
CANDIS,0.003
CANDRA,0.001
CANDY,0.022
CANDYCE,0.002
CAPRICE,0.002
CARA,0.025
CAREN,0.007
CAREY,0.009
CARI,0.007
CARIDAD,0.006
CARIE,0.002
CARIN,0.003
CARINA,0.004
CARISA,0.002
CARISSA,0.009
CARITA,0.001
CARL,0.002
CARLA,0.107
CARLEE,0.001
CARLEEN,0.004
CARLENA,0.001
CARLENE,0.012
CARLETTA,0.002
CARLEY,0.002
CARLI,0.001
CARLIE,0.002
CARLINE,0.002
CARLITA,0.001
CARLOS,0.001
CARLOTA,0.003
CARLOTTA,0.004
CARLY,0.01
CARLYN,0.003
CARMA,0.003
CARMAN,0.004
CARMEL,0.006
CARMELA,0.018
CARMELIA,0.001
CARMELINA,0.002
CARMELITA,0.006
CARMELLA,0.012
CARMEN,0.195
CARMINA,0.001
CARMON,0.002
CAROL,0.565
CAROLA,0.001
CAROLANN,0.003
CAROLE,0.071
CAROLEE,0.004
CAROLIN,0.001
CAROLINA,0.021
CAROLINE,0.085
CAROLL,0.001
CAROLYN,0.385
CAROLYNE,0.002
CAROLYNN,0.003
CARON,0.003
CAROYLN,0.001
CARRI,0.003
CARRIE,0.171
CARROL,0.005
CARROLL,0.006
CARRY,0.001
CARY,0.004
CARYL,0.004
CARYLON,0.001
CARYN,0.008
CASANDRA,0.009
CASEY,0.029
CASIE,0.002
CASIMIRA,0.001
CASSANDRA,0.072
CASSAUNDRA,0.001
CASSEY,0.001
CASSI,0.001
CASSIDY,0.003
CASSIE,0.023
CASSONDRA,0.001
CASSY,0.001
CATALINA,0.014
CATARINA,0.002
CATERINA,0.002
CATHARINE,0.006
CATHERIN,0.001
CATHERINA,0.001
CATHERINE,0.373
CATHERN,0.001
CATHERYN,0.001
CATHEY,0.002
CATHI,0.003
CATHIE,0.004
CATHLEEN,0.017
CATHRINE,0.006
CATHRYN,0.009
CATHY,0.137
CATINA,0.004
CATRICE,0.001
CATRINA,0.007
CAYLA,0.001
CECELIA,0.032
CECIL,0.005
CECILA,0.002
CECILE,0.019
CECILIA,0.055
CECILLE,0.001
CECILY,0.003
CELENA,0.002
CELESTA,0.001
CELESTE,0.025
CELESTINA,0.002
CELESTINE,0.007
CELIA,0.044
CELINA,0.008
CELINDA,0.001
CELINE,0.002
CELSA,0.001
CEOLA,0.001
CHAE,0.001
CHAN,0.001
CHANA,0.003
CHANDA,0.004
CHANDRA,0.014
CHANEL,0.005
CHANELL,0.001
CHANELLE,0.001
CHANG,0.001
CHANTAL,0.005
CHANTAY,0.001
CHANTE,0.002
CHANTEL,0.007
CHANTELL,0.002
CHANTELLE,0.003
CHARA,0.001
CHARIS,0.001
CHARISE,0.002
CHARISSA,0.003
CHARISSE,0.004
CHARITA,0.001
CHARITY,0.018
CHARLA,0.006
CHARLEEN,0.005
CHARLENA,0.001
CHARLENE,0.097
CHARLES,0.006
CHARLESETTA,0.001
CHARLETTE,0.003
CHARLIE,0.006
CHARLINE,0.005
CHARLOTT,0.001
CHARLOTTE,0.169
CHARLSIE,0.001
CHARLYN,0.001
CHARMAIN,0.001
CHARMAINE,0.011
CHAROLETTE,0.003
CHASIDY,0.001
CHASITY,0.01
CHASSIDY,0.001
CHASTITY,0.005
CHAU,0.002
CHAYA,0.002
CHELSEA,0.038
CHELSEY,0.008
CHELSIE,0.004
CHER,0.001
CHERE,0.001
CHEREE,0.001
CHERELLE,0.001
CHERI,0.025
CHERIE,0.022
CHERILYN,0.001
CHERISE,0.003
CHERISH,0.002
CHERLY,0.004
CHERLYN,0.001
CHERRI,0.003
CHERRIE,0.003
CHERRY,0.009
CHERRYL,0.002
CHERY,0.001
CHERYL,0.315
CHERYLE,0.004
CHERYLL,0.002
CHEYENNE,0.003
CHI,0.002
CHIA,0.001
CHIEKO,0.001
CHIN,0.002
CHINA,0.001
CHING,0.001
CHIQUITA,0.005
CHLOE,0.007
CHONG,0.007
CHRIS,0.024
CHRISSY,0.004
CHRISTA,0.023
CHRISTAL,0.006
CHRISTEEN,0.002
CHRISTEL,0.003
CHRISTEN,0.007
CHRISTENA,0.002
CHRISTENE,0.003
CHRISTI,0.017
CHRISTIA,0.001
CHRISTIAN,0.01
CHRISTIANA,0.003
CHRISTIANE,0.003
CHRISTIE,0.034
CHRISTIN,0.007
CHRISTINA,0.275
CHRISTINE,0.382
CHRISTINIA,0.001
CHRISTOPHER,0.003
CHRISTY,0.077
CHRYSTAL,0.011
CHU,0.001
CHUN,0.003
CHUNG,0.002
CIARA,0.003
CICELY,0.002
CIERA,0.002
CIERRA,0.003
CINDA,0.003
CINDERELLA,0.001
CINDI,0.007
CINDIE,0.001
CINDY,0.192
CINTHIA,0.004
CIRA,0.001
CLAIR,0.003
CLAIRE,0.061
CLARA,0.153
CLARE,0.012
CLARENCE,0.001
CLARETHA,0.001
CLARETTA,0.001
CLARIBEL,0.003
CLARICE,0.018
CLARINDA,0.001
CLARINE,0.002
CLARIS,0.001
CLARISA,0.001
CLARISSA,0.014
CLARITA,0.002
CLASSIE,0.001
CLAUDE,0.001
CLAUDETTE,0.017
CLAUDIA,0.09
CLAUDIE,0.001
CLAUDINE,0.011
CLELIA,0.001
CLEMENCIA,0.001
CLEMENTINA,0.002
CLEMENTINE,0.005
CLEMMIE,0.002
CLEO,0.021
CLEOPATRA,0.002
CLEORA,0.002
CLEOTILDE,0.001
CLETA,0.003
CLORA,0.001
CLORINDA,0.001
CLOTILDE,0.002
CLYDE,0.003
CODI,0.001
CODY,0.002
COLBY,0.001
COLEEN,0.009
COLENE,0.001
COLETTA,0.002
COLETTE,0.011
COLLEEN,0.092
COLLEN,0.002
COLLENE,0.001
COLLETTE,0.005
CONCEPCION,0.014
CONCEPTION,0.001
CONCETTA,0.009
CONCHA,0.001
CONCHITA,0.002
CONNIE,0.2
CONSTANCE,0.091
CONSUELA,0.002
CONSUELO,0.022
CONTESSA,0.001
CORA,0.058
CORAL,0.004
CORALEE,0.001
CORALIE,0.001
CORAZON,0.003
CORDELIA,0.005
CORDIA,0.001
CORDIE,0.002
COREEN,0.002
CORENE,0.003
CORETTA,0.002
COREY,0.005
CORI,0.006
CORIE,0.002
CORINA,0.01
CORINE,0.011
