MOHAMMED,0.007
MOISES,0.013
MONROE,0.008
MONTE,0.015
MONTY,0.012
MORGAN,0.018
MORRIS,0.051
MORTON,0.007
MOSE,0.004
MOSES,0.02
MOSHE,0.005
MURRAY,0.015
MYLES,0.007
MYRON,0.03
NAPOLEON,0.006
NATHAN,0.185
NATHANAEL,0.004
NATHANIAL,0.004
NATHANIEL,0.081
NEAL,0.037
NED,0.012
NEIL,0.066
NELSON,0.061
NESTOR,0.009
NEVILLE,0.004
NEWTON,0.005
NICHOLAS,0.275
NICK,0.043
NICKOLAS,0.01
NICKY,0.004
NICOLAS,0.024
NIGEL,0.006
NOAH,0.022
NOBLE,0.005
NOE,0.011
NOEL,0.03
NOLAN,0.013
NORBERT,0.013
NORBERTO,0.006
NORMAN,0.177
NORMAND,0.006
NORRIS,0.011
NUMBERS,0.008
OCTAVIO,0.008
ODELL,0.01
ODIS,0.005
OLEN,0.005
OLIN,0.006
OLIVER,0.04
OLLIE,0.01
OMAR,0.036
OMER,0.005
OREN,0.005
ORLANDO,0.037
ORVAL,0.005
ORVILLE,0.024
OSCAR,0.122
OSVALDO,0.006
OSWALDO,0.004
OTHA,0.004
OTIS,0.041
OTTO,0.018
OWEN,0.026
PABLO,0.036
PALMER,0.004
PARIS,0.004
PARKER,0.006
PASQUALE,0.008
PAT,0.022
PATRICIA,0.004
PATRICK,0.389
PAUL,0.948
PEDRO,0.103
PERCY,0.021
PERRY,0.049
PETE,0.032
PETER,0.381
PHIL,0.021
PHILIP,0.197
PHILLIP,0.213
PIERRE,0.016
PORFIRIO,0.005
PORTER,0.004
PRESTON,0.034
PRINCE,0.005
QUENTIN,0.015
QUINCY,0.01
QUINN,0.005
QUINTIN,0.005
QUINTON,0.013
RAFAEL,0.081
RALEIGH,0.005
RALPH,0.282
RAMIRO,0.022
RAMON,0.09
RANDAL,0.02
RANDALL,0.138
RANDELL,0.007
RANDOLPH,0.032
RANDY,0.232
RAPHAEL,0.012
RASHAD,0.004
RAUL,0.079
RAY,0.153
RAYFORD,0.004
RAYMON,0.004
RAYMOND,0.488
RAYMUNDO,0.008
REED,0.01
REFUGIO,0.006
REGGIE,0.012
REGINALD,0.084
REID,0.007
REINALDO,0.006
RENALDO,0.004
